Access 1: ['0', '0', '2', '5', '11']
Access 2: ['0', '0', '2', '5', '11']
Access 3: ['0', '2', '5', '11', '23']
Access 4: ['0', '0', '2', '5', '11']
Access 5: ['0', '1', '3', '8', '18']
Access 6: ['0', '0', '2', '5', '11']
Access 7: ['0', '1', '4', '10', '21']
Access 8: ['0', '0', '2', '6', '13']
Access 9: ['0', '1', '4', '10', '21']
Access 10: ['0', '1', '3', '8', '18']
Access 11: ['0', '1', '3', '8', '17']
Access 12: ['0', '0', '2', '5', '12']
Access 13: ['0', '1', '4', '9', '20']
Access 14: ['0', '0', '2', '6', '13']
Access 15: ['0', '1', '4', '9', '20']
Access 16: ['0', '1', '4', '9', '19']
Access 17: ['0', '0', '1', '4', '9']
Access 18: ['0', '2', '5', '11', '23']
Access 19: ['0', '1', '3', '8', '18']
Access 20: ['0', '2', '5', '11', '23']
Access 21: ['0', '1', '3', '8', '17']
Access 22: ['0', '1', '4', '9', '19']
Access 23: ['0', '0', '2', '5', '11']
Access 24: ['0', '1', '4', '10', '22']
Access 25: ['0', '0', '1', '4', '10']
Access 26: ['0', '1', '3', '8', '17']
Access 27: ['0', '1', '4', '10', '21']
Access 28: ['0', '0', '1', '4', '10']
Access 29: ['0', '0', '1', '4', '10']
Access 30: ['0', '0', '2', '6', '13']
Access 31: ['0', '1', '3', '8', '18']
Access 32: ['0', '1', '4', '10', '22']
Access 33: ['0', '0', '2', '5', '12']
Access 34: ['0', '0', '1', '4', '9']
Access 35: ['0', '1', '3', '7', '15']
Access 36: ['0', '0', '2', '5', '12']
Access 37: ['0', '1', '4', '9', '19']
Access 38: ['0', '0', '2', '6', '13']
Access 39: ['0', '2', '5', '11', '23']
Access 40: ['0', '2', '5', '11', '24']
Access 41: ['0', '1', '4', '10', '22']
Access 42: ['0', '1', '4', '10', '22']
Access 43: ['0', '1', '4', '10', '21']
Access 44: ['0', '1', '4', '10', '21']
Access 45: ['0', '1', '4', '10', '21']
Access 46: ['0', '1', '3', '8', '17']
Access 47: ['0', '1', '4', '9', '19']
Access 48: ['0', '1', '3', '8', '17']
Access 49: ['0', '1', '4', '10', '22']
Access 50: ['0', '0', '2', '6', '14']
Access 51: ['0', '0', '2', '5', '11']
Access 52: ['0', '0', '2', '6', '14']
Access 53: ['0', '1', '4', '9', '20']
Access 54: ['0', '1', '4', '9', '20']
Access 55: ['0', '0', '2', '6', '14']
Access 56: ['0', '0', '1', '4', '9']
Access 57: ['0', '2', '5', '11', '24']
Access 58: ['0', '2', '5', '11', '24']
Access 59: ['0', '2', '5', '11', '24']
Access 60: ['0', '0', '2', '5', '11']
Access 61: ['0', '0', '1', '4', '10']
Access 62: ['0', '1', '3', '7', '15']
Access 63: ['0', '1', '3', '7', '16']
Access 64: ['0', '0', '1', '4', '9']
Access 65: ['0', '0', '2', '6', '14']
Access 66: ['0', '1', '4', '10', '21']
Access 67: ['0', '1', '3', '8', '17']
Access 68: ['0', '0', '2', '6', '13']
Access 69: ['0', '1', '4', '10', '22']
Access 70: ['0', '2', '5', '11', '24']
Access 71: ['0', '1', '3', '8', '18']
Access 72: ['0', '1', '3', '7', '15']
Access 73: ['0', '0', '2', '5', '12']
Access 74: ['0', '1', '4', '10', '21']
Access 75: ['0', '2', '5', '11', '23']
Access 76: ['0', '1', '4', '10', '21']
Access 77: ['0', '1', '4', '10', '22']
Access 78: ['0', '0', '2', '5', '12']
Access 79: ['0', '2', '5', '11', '23']
Access 80: ['0', '2', '5', '11', '24']
Access 81: ['0', '1', '3', '8', '17']
Access 82: ['0', '1', '4', '10', '21']
Access 83: ['0', '1', '3', '8', '18']
Access 84: ['0', '1', '3', '8', '18']
Access 85: ['0', '1', '3', '8', '17']
Access 86: ['0', '1', '3', '8', '17']
Access 87: ['0', '0', '1', '4', '10']
Access 88: ['0', '0', '2', '6', '14']
Access 89: ['0', '1', '3', '7', '16']
Access 90: ['0', '1', '4', '9', '19']
Access 91: ['0', '1', '3', '7', '16']
Access 92: ['0', '1', '4', '10', '22']
Access 93: ['0', '1', '3', '8', '18']
Access 94: ['0', '0', '2', '6', '14']
Access 95: ['0', '1', '3', '7', '16']
Access 96: ['0', '1', '4', '9', '19']
Access 97: ['0', '1', '3', '8', '17']
Access 98: ['0', '1', '4', '9', '20']
Access 99: ['0', '2', '5', '11', '24']
Access 100: ['0', '1', '3', '8', '17']


*******************************************

Access 1: ['0', '1', '3', '8', '17']
Access 2: ['0', '1', '3', '8', '17']
Access 3: ['0', '2', '5', '11', '24']
Access 4: ['0', '0', '1', '4', '9']
Access 5: ['0', '1', '4', '9', '19']
Access 6: ['0', '2', '5', '11', '23']
Access 7: ['0', '0', '1', '4', '9']
Access 8: ['0', '1', '3', '7', '16']
Access 9: ['0', '1', '4', '10', '21']
Access 10: ['0', '1', '4', '10', '22']
Access 11: ['0', '2', '5', '11', '24']
Access 12: ['0', '0', '2', '5', '12']
Access 13: ['0', '0', '1', '4', '10']
Access 14: ['0', '2', '5', '11', '24']
Access 15: ['0', '1', '4', '9', '19']
Access 16: ['0', '1', '3', '7', '16']
Access 17: ['0', '1', '4', '9', '19']
Access 18: ['0', '1', '4', '10', '22']
Access 19: ['0', '1', '4', '10', '22']
Access 20: ['0', '0', '1', '4', '10']
Access 21: ['0', '1', '3', '7', '16']
Access 22: ['0', '0', '2', '5', '12']
Access 23: ['0', '1', '4', '10', '22']
Access 24: ['0', '0', '2', '5', '12']
Access 25: ['0', '1', '3', '8', '18']
Access 26: ['0', '0', '1', '4', '9']
Access 27: ['0', '1', '3', '8', '18']
Access 28: ['0', '1', '4', '9', '19']
Access 29: ['0', '2', '5', '11', '23']
Access 30: ['0', '1', '4', '10', '21']
Access 31: ['0', '0', '2', '6', '13']
Access 32: ['0', '1', '3', '7', '16']
Access 33: ['0', '1', '4', '10', '22']
Access 34: ['0', '1', '3', '8', '17']
Access 35: ['0', '0', '2', '5', '11']
Access 36: ['0', '1', '4', '9', '20']
Access 37: ['0', '2', '5', '11', '24']
Access 38: ['0', '0', '1', '4', '10']
Access 39: ['0', '0', '2', '6', '14']
